product,material,region,city,craft_process,platform,price,sales,rating,reviews
saree,bamboo,gujarat,hyderabad,traditional carving,amazon,1637,166,3.9,172
shawl,bamboo,west bengal,hyderabad,loom weaving,meesho,4268,27,3.9,452
handbag,terracotta,west bengal,puri,metal casting,meesho,7696,107,4.5,340
lamp,stone,gujarat,ahmedabad,handloom weaving,flipkart,5372,12,3.6,338
saree,brass,tamil nadu,ahmedabad,pottery shaping,meesho,2437,88,3.5,26
statue,wood,west bengal,hyderabad,handcrafted,flipkart,4391,59,4.1,97
statue,silk,odisha,ahmedabad,hand-woven,etsy,3934,162,4.9,431
shawl,terracotta,west bengal,hyderabad,handcrafted,flipkart,1029,236,4.1,78
vase,jute,odisha,puri,pottery shaping,etsy,6385,193,4.8,167
lamp,clay,karnataka,ahmedabad,metal casting,meesho,3207,64,4.0,205
vase,bamboo,tamil nadu,kanchipuram,hand-woven,meesho,5231,134,4.6,88
bracelet,stone,uttar pradesh,kolkata,handcrafted,meesho,5998,248,4.6,199
saree,bamboo,uttar pradesh,varanasi,handcrafted,meesho,5987,51,4.1,160
handbag,cotton,uttar pradesh,kolkata,handloom weaving,flipkart,4081,17,4.6,71
wall hanging,clay,karnataka,puri,pottery shaping,amazon,3182,189,4.0,242
statue,wood,karnataka,puri,pottery shaping,flipkart,2414,20,4.8,289
saree,clay,odisha,hyderabad,loom weaving,flipkart,1351,58,4.3,304
saree,silk,karnataka,mysore,metal casting,flipkart,3225,93,3.8,22
handbag,cotton,rajasthan,varanasi,handcrafted,flipkart,525,153,4.7,303
shawl,terracotta,odisha,varanasi,loom weaving,amazon,6778,166,4.6,440
statue,bamboo,uttar pradesh,hyderabad,handloom weaving,etsy,4193,42,4.5,185
bracelet,clay,uttar pradesh,kanchipuram,traditional carving,etsy,7882,206,4.8,449
vase,clay,karnataka,jaipur,block printing,amazon,1781,14,4.8,207
wall hanging,cotton,gujarat,kanchipuram,block printing,etsy,5339,62,4.1,61
shawl,cotton,gujarat,hyderabad,handloom weaving,flipkart,6655,135,3.9,179
necklace,bamboo,andhra pradesh,kolkata,hand-woven,etsy,6858,69,3.7,137
scarf,cotton,west bengal,kolkata,handloom weaving,etsy,2678,80,4.2,457
saree,wood,uttar pradesh,ahmedabad,block printing,flipkart,2507,210,4.8,279
saree,jute,uttar pradesh,varanasi,traditional carving,amazon,465,25,3.9,457
lamp,stone,andhra pradesh,kolkata,loom weaving,meesho,6907,30,4.2,403
vase,cotton,gujarat,mysore,pottery shaping,flipkart,7513,58,4.3,260
saree,clay,karnataka,kanchipuram,block printing,etsy,3875,248,4.4,351
shawl,clay,west bengal,varanasi,traditional carving,meesho,4166,173,4.5,412
necklace,bamboo,west bengal,jaipur,hand-woven,etsy,4076,105,4.2,495
handbag,brass,andhra pradesh,puri,handcrafted,flipkart,6388,245,4.6,251
